Date,year,max_customer,daily_ci,daily_ci_3day_avg,customer_minutes,total_min,total_max,rolling_max_customer,rolling_daily_ci,rolling_daily_ci_3_day_avg,rolling_customer_minutes,saifi_max_method_min,saifi_max_method_max,saifi_sum_method_min,saifi_sum_method_max,saifi_moving_avg_min,saifi_moving_avg_max,saidi_max,saidi_min,caidi_max_method,caidi_sum_method,caidi_moving_avg_method
2019-03-15,2019,418173,437666,614805.000000001,114412485,124059690,142667100,177980455,222167171,221887154.666667,46455091755,1.43463565804493,1.24752276453366,1.79080869055855,1.5572417957609,1.78855158082909,1.55527907041404,374.457583724415,325.618812991923,261.01232157767,209.099713274019,209.363592159212
2019-03-16,2019,279979,337830,334991.333333333,54491220,124059690,142667100,177392986,221436795,221256108.666667,46107779205,1.42990028429057,1.24340500367639,1.78492139549921,1.55212235336668,1.78346494874094,1.55085586422284,371.658023690048,323.184386624527,259.918840336788,208.220947223337,208.390988537468
2019-03-17,2019,180938,229478,279456.333333333,28471440,124059690,142667100,176490506,220164360,220384195.666667,45056232975,1.42262572153775,1.23707922849767,1.77466476016505,1.54320344354094,1.7764367754479,1.54474434306625,363.181892321349,315.81375786709,255.289839641573,204.648168191255,204.44402938561
2019-03-18,2019,221068,271061,280950.333333333,28186380,124059690,142667100,175908678,219551432,219691227,44254746870,1.41793581783092,1.23300100723993,1.76972417067945,1.53890723229112,1.77085100728528,1.53988710081021,356.721404591612,310.195881671387,251.577962913234,201.568928368456,201.440665038481
2019-03-19,2019,271745,342312,329581.666666667,35881020,124059690,142667100,175402963,219357889,219360238.333333,43698079815,1.41385943330988,1.22945628669819,1.76816409101135,1.53755062659856,1.76818302813213,1.53756709383827,352.234314103155,306.29402164199,249.129655894125,199.209064302219,199.206930786598
2019-03-20,2019,280809,375372,373670.333333333,34380045,124059690,142667100,175004535,219171394,219261475.666667,43333890285,1.41064785024048,1.22666357555456,1.76666082270559,1.53624342262512,1.76738693822842,1.53687483425868,349.298714876686,303.74129904512,247.615813413064,197.716907732037,197.635677463371
2019-03-21,2019,301386,403327,423771,37114230,124059690,142667100,174937621,219255144,219212380.666667,43187401350,1.41010848084499,1.22619455361467,1.76733590096832,1.53683045355236,1.76699120130533,1.53653071147214,348.117920897594,302.714510563402,246.873148858015,196.973263943126,197.011688932253
2019-03-22,2019,373580,492614,424050.666666667,54007215,124059690,142667100,174851233,219210604,219078447.333333,43105509435,1.40941213862456,1.22558903208939,1.76697688024208,1.53651825823893,1.76591161346069,1.53559192927685,347.457819981656,302.140503556882,246.526768472945,196.639709249649,196.758329994068
2019-03-23,2019,252968,376211,372071,38018400,124059690,142667100,174502781,218769594,218866774,42990072990,1.40660339389853,1.22314661894719,1.76342205917168,1.53342707603925,1.76420539177552,1.53410824219459,346.527328820506,301.331372054244,246.35752360875,196.508446187453,196.42119360703
2019-03-24,2019,183900,247388,324130.666666667,29859150,124059690,142667100,174329688,218620124,218707407.666667,42914500320,1.40520815423608,1.22193335394075,1.76221723591281,1.53237939230558,1.76292079777619,1.53299119184918,345.918165038136,300.801658686551,246.168629178066,196.297118192102,196.218778219923
