Date,Year,CI,CMI,total_customers,rolling_CI,rolling_CMI,SAIFI,CAIDI,SAIDI
2003-07-02,2003,214961,27211539.449,66080769,78920949,22497166894.9034,1.1943103900622,285.059508026233,340.449532221748
2003-07-03,2003,174595,18754995.7157,66080769,79111807,22521500799.5384,1.19719864337535,284.679387989942,340.817777098484
2003-07-04,2003,658282,331440637.032,66080769,79138331,22527469251.1724,1.19760003095606,284.659392819042,340.908097652017
2003-07-05,2003,541758,314142929.446,66080769,79032063,22502701762.1024,1.19599187775796,284.728765869397,340.533291343846
2003-07-06,2003,470661,95594496.065,66080769,79101432,22500512595.1134,1.19704163854389,284.4513939408,340.500162688987
2003-07-07,2003,801144,517546604.284,66080769,79162485,22544744591.8134,1.19796555333671,284.790764107688,341.16952530945
2003-07-08,2003,938103,486349248.786,66080769,79344876,22607400264.0734,1.20072567557439,284.925774716359,342.117693334855
2003-07-09,2003,373281,124940698.488,66080769,79664643,22834247720.0874,1.20556470824363,286.629637191588,345.550574934856
2003-07-10,2003,386809,119439658.333,66080769,79685577,22867497898.9434,1.20588150237779,286.971604647393,346.053749751965
2003-07-11,2003,274360,35626180.751,66080769,79724520,22870796549.6594,1.20647082663339,286.872803369144,346.103668219409
2003-07-12,2003,187503,32045296.696,66080769,79770234,22880348278.5594,1.20716261640357,286.828145427772,346.248214492773
2003-07-13,2003,225032,28452108.484,66080769,79776072,22884681302.7914,1.20725096283307,286.861470226203,346.313786130295
2003-07-14,2003,162890,16675590.717,66080769,79800848,22885604713.5704,1.20762589793711,286.783978956845,346.327760101739
2003-07-15,2003,588588,151618389.464,66080769,79858971,22891723606.0884,1.20850547305223,286.651872913419,346.420357276538
2003-07-16,2003,224221,30751964.47,66080769,79898059,22895873349.0214,1.20909699159221,286.563574079083,346.483155318931
2003-07-17,2003,419784,123540459.28,66080769,79929783,22901876850.4054,1.2095770707511,286.52494715775,346.574006280184
2003-07-18,2003,329070,49310754.403,66080769,79910802,22900596180.5534,1.20928983135774,286.576978423435,346.554625908688
2003-07-19,2003,213345,36846258.704,66080769,79883539,22902351419.4074,1.20887726049314,286.696755127579,346.5811879309
2003-07-20,2003,229329,37802667.205,66080769,79850053,22896277738.1754,1.20837051699565,286.740920988185,346.489274938302
2003-07-21,2003,726792,384056452.773,66080769,79897437,22899239427.2754,1.20908757886882,286.607934961361,346.534094167025
2003-07-22,2003,411202,122411261.664,66080769,79885527,22900282532.4834,1.2089073448888,286.663722359663,346.54987947376
2003-07-23,2003,253756,40131610.917,66080769,79922186,22902921553.1664,1.20946210538198,286.56525427328,346.589815762683
2003-07-24,2003,209185,23027302.101,66080769,79929491,22897304157.4844,1.20957265191632,286.46878481291,346.504807737398
2003-07-25,2003,178513,26902748.421,66080769,79817806,22877973484.6014,1.20788252327996,286.627441057468,346.212276745771
2003-07-26,2003,158916,18852015.136,66080769,79786538,22871318487.4854,1.20740934476716,286.656359090119,346.11156670234
2003-07-27,2003,334449,58280602.368,66080769,79890024,22859972129.8064,1.20897539797093,286.143012421756,345.939862319193
2003-07-28,2003,340640,27926748.342,66080769,79886536,22861454348.8834,1.20892261408156,286.174060030384,345.962292734266
2003-07-29,2003,271334,32176900.619,66080769,80029871,22872792215.5004,1.21109170203513,285.803187356136,346.133868622207
2003-07-30,2003,219801,22897690.415,66080769,80068624,22878276699.4484,1.21167815102152,285.733356669754,346.216865294779
2003-07-31,2003,187112,64390839.733,66080769,80035257,22878685112.2494,1.21117320835053,285.857582893117,346.223045803983
2003-08-01,2003,422295,92927915.905,66080769,80127436,22899245313.6624,1.21256815277074,285.785324687819,346.534183245694
2003-08-02,2003,264141,42278532.817,66080769,80086063,22902403925.1244,1.21194205533534,285.972403526996,346.581982499695
2003-08-03,2003,278151,42796179.581,66080769,80022494,22893733322.9294,1.21098006592508,286.091224836474,346.45077031306
2003-08-04,2003,326185,41532024.931,66080769,80025988,22894231760.7764,1.21103294061242,286.084962309699,346.458313170908
2003-08-05,2003,207860,29726536.325,66080769,80079018,22903683474.8594,1.2118354433799,286.013540711244,346.601345920466
2003-08-06,2003,218746,22045008.119,66080769,79837606,22878489512.2274,1.20818215659688,286.562819935099,346.220085789671
2003-08-07,2003,268305,28262329.535,66080769,80009345,23011591431.6404,1.21078108216325,287.611296300956,348.234316577648
2003-08-08,2003,232874,23111835.299,66080769,80201457,23137068831.4804,1.21368831225315,288.486889103279,350.133165542919
2003-08-09,2003,230470,29340486.646,66080769,80213109,23151868721.3991,1.21386464192025,288.629489743367,350.357132214958
2003-08-10,2003,150388,19797483.622,66080769,80240926,23129414711.7171,1.21428559646453,288.249598611525,350.017335780658
2003-08-11,2003,276132,23453765.127,66080769,80269272,23123364596.6701,1.21471455636359,288.072434451257,349.925779415038
2003-08-12,2003,170968,17436990.381,66080769,80272727,23122054761.9191,1.21476684086409,288.043718284531,349.905957691248
2003-08-13,2003,170484,18471557.152,66080769,80230846,23114096294.5991,1.21413305586683,288.094884286763,349.785522238688
2003-08-14,2003,4859090,4122076219.579,66080769,80097529,23093655837.5801,1.21211557026523,288.319204423648,349.476196888388
2003-08-15,2003,431549,55120017.397,66080769,79894646,23059006253.2511,1.20904534267753,288.617665985417,348.951844874128
2003-08-16,2003,291904,48841655.996,66080769,79831957,23058082211.2161,1.20809667030358,288.832731624205,348.93786134989
2003-08-17,2003,249965,28093895.078,66080769,79822998,23101852794.2791,1.20796109379417,289.413494520453,349.600241399719
2003-08-18,2003,124434,13074915.149,66080769,79470820,22284243843.9771,1.20263158559792,280.407876047801,337.227368585512
2003-08-19,2003,111189,11865047.602,66080769,79476446,22155836311.2411,1.20271672383231,278.772358683994,335.284177931421
2003-08-20,2003,138219,14161389.919,66080769,79418203,22009895077.5091,1.2018353327577,277.139172709676,333.075649853728
2003-08-21,2003,399842,52748590.858,66080769,79450038,21934319077.7261,1.20231709167912,276.076885925795,331.931958566131
2003-08-22,2003,422452,72346422.28,66080769,79553354,21852142328.3591,1.20388057227361,274.685368116083,330.688378162777
2003-08-23,2003,139322,19231075.962,66080769,79510204,21800225134.8811,1.20322758350467,274.181476567223,329.90271549172
