Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-07-02,6,South,SERC,1,802,30657,31335240
2023,2023-07-01,4,Midwest,RFC,2,943,47164,39923419.11
2023,2023-07-01,4,Midwest,SERC,1,1171,46640,42910271
2023,2023-07-01,6,South,SERC,1,2309,124980,218673283
2023,2023-06-30,4,Midwest,RFC,2,884,41946,73369589.03
2023,2023-06-30,4,Midwest,SERC,1,1163,57534,104428011
2023,2023-06-30,6,South,SERC,1,458,24381,19166970
2023,2023-06-30,6,South,SPP RE,1,435,33784,8411593
2023,2023-06-29,4,Midwest,RFC,2,2891,278618,397283653.5
2023,2023-06-29,4,Midwest,SERC,1,2944,216814,321439788
2023,2023-06-26,2,Mid-Atlantic,RFC,2,399,60060,28378274
2023,2023-06-26,4,Midwest,RFC,1,1031,45521,30722429.53
2023,2023-06-26,6,South,SERC,1,644,16783,13965720
2023,2023-06-26,6,South,SPP RE,1,596,39779,15634821
2023,2023-06-25,3,Southeast,,1,60,406,951193
2023,2023-06-25,4,Midwest,RFC,3,2576,153684,119273848.3
2023,2023-06-24,4,Midwest,MRO,1,359,32868,7405579.54
2023,2023-06-24,6,South,SPP RE,1,171,5484,2509514
2023,2023-06-23,6,South,SPP RE,2,596,34715,25896057
2023,2023-06-22,6,South,SPP RE,1,226,9522,11942634
2023,2023-06-21,6,South,SERC,1,205,23148,16294870
2023,2023-06-21,6,South,SPP RE,2,718,35975,30309407
2023,2023-06-20,6,South,SPP RE,2,725,25146,25986439
2023,2023-06-19,6,South,SERC,1,773,15449,51552024
2023,2023-06-19,6,South,SPP RE,2,772,37915,116119092
2023,2023-06-18,6,South,SPP RE,2,1736,200134,680308928
2023,2023-06-17,6,South,SERC,1,113,25321,7064407
2023,2023-06-17,6,South,SPP RE,2,453,34670,70858150
2023,2023-06-16,3,Southeast,SERC,1,617,59705,141197649
2023,2023-06-16,6,South,SERC,1,596,26790,20522661
2023,2023-06-16,6,South,SPP RE,1,1356,255358,884286225
2023,2023-06-15,2,Mid-Atlantic,RFC,2,232,28117,35296093
2023,2023-06-15,5,Southwest,SPP RE,1,59,4956,11632959.93
